station_id,station_name,city,state,latitude,longitude,timestamp,AQI,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,traffic_level
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-12 13:38:12,194,153.51,39.88,71.29,18.41,4.57,16.64,30.5,49.6,3.3,High
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-12 16:35:23,126,85.9,146.33,19.95,12.68,1.88,88.76,24.1,43.9,5.3,Low
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-12 16:44:24,132,100.42,134.64,30.55,4.73,1.78,34.57,38.2,57.3,1.3,Low
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-12 17:31:10,228,113.8,233.29,52.67,42.42,2.39,72.32,28.5,43.5,0.8,Low
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-12 17:51:13,216,161.2,43.88,106.48,11.45,2.93,68.45,24.4,59.2,1.3,High
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-12 17:53:43,196,93.12,215.8,9.78,15.38,3.94,42.63,25.0,84.4,2.3,Moderate
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-12 19:23:27,193,147.49,37.32,49.19,25.81,2.26,67.91,29.9,49.2,2.9,Low
ST007,Porur,Chennai,Tamil Nadu,13.0382,80.1565,2026-01-12 19:52:54,99,72.42,42.06,25.81,7.82,0.45,64.81,36.9,67.6,3.4,Low
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-12 20:22:05,175,134.55,159.24,49.45,11.66,1.96,65.46,37.3,52.6,4.8,High
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-12 21:14:43,141,118.56,131.1,42.65,39.77,4.31,64.22,29.6,69.0,1.3,Moderate
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-12 21:38:15,155,19.33,167.2,74.45,7.81,2.86,34.85,33.9,79.1,4.4,High
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-12 22:33:33,61,37.25,64.01,16.46,21.89,2.91,48.92,28.1,51.3,3.1,Moderate
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-12 22:36:48,175,92.8,176.44,12.4,32.92,4.87,66.63,38.1,60.7,2.6,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-13 00:06:42,111,85.13,127.03,42.75,19.16,1.81,86.79,39.1,67.4,5.7,Low
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-13 01:17:18,151,108.71,101.18,12.56,28.89,0.36,87.67,39.6,89.0,2.0,Low
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-13 01:23:16,240,184.35,56.09,54.43,35.34,3.75,71.22,35.1,68.5,1.0,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-13 01:29:08,120,91.65,116.76,5.27,3.83,0.3,36.8,26.7,75.9,4.7,Low
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-13 01:40:11,249,99.71,251.43,90.47,15.64,0.53,85.33,32.4,40.4,2.2,Moderate
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-13 03:35:50,101,79.19,66.13,54.74,2.42,2.9,53.71,30.0,59.2,5.1,Moderate
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-13 03:40:46,120,70.14,119.78,29.66,29.38,2.66,36.62,25.9,69.8,2.0,Low
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-13 03:43:52,246,184.77,213.44,113.3,41.76,5.94,6.57,29.4,46.7,0.9,High
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-13 03:47:38,148,66.26,141.28,38.78,30.46,1.58,65.3,36.9,82.3,2.7,Low
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-13 04:09:13,184,147.24,166.4,46.02,6.49,2.37,49.98,24.2,45.8,0.8,Low
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-13 04:20:52,120,41.43,109.24,50.96,19.26,1.05,75.72,26.2,54.8,3.6,Moderate
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-13 04:36:26,146,10.28,149.37,59.93,21.57,0.85,12.94,35.1,51.5,1.1,Low
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-13 05:39:32,137,104.22,117.05,40.05,9.53,4.17,83.91,37.0,52.7,4.2,High
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-13 06:23:47,118,97.56,99.42,29.46,21.57,1.46,87.52,28.1,65.3,5.8,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-13 10:53:47,97,67.56,62.18,6.47,35.42,3.87,37.45,35.0,50.6,1.8,Low
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-13 11:33:29,179,131.47,46.88,62.66,12.45,1.44,9.75,36.8,66.2,3.6,High
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-13 11:48:49,145,97.49,151.2,74.89,12.6,3.81,11.01,38.4,48.2,2.6,Low
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-13 13:13:24,170,127.54,172.31,42.01,17.53,0.9,39.85,28.2,61.1,0.7,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-13 13:52:42,136,101.33,44.25,7.11,10.88,2.83,24.18,37.9,62.7,3.3,Moderate
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-13 14:35:24,289,41.48,310.17,121.45,21.96,4.9,46.42,28.7,65.7,1.4,High
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-13 15:19:30,176,131.17,56.96,102.07,5.83,5.13,72.18,36.4,58.6,0.7,Moderate
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-13 16:08:53,218,172.36,114.48,81.43,22.05,4.72,27.15,27.9,43.2,1.2,High
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-13 16:12:34,120,21.14,115.94,26.34,7.77,1.25,52.29,30.5,57.8,4.9,Moderate
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-13 17:02:46,140,62.69,141.01,63.68,22.17,2.46,24.06,31.7,65.1,2.3,Low
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-13 17:22:00,68,53.19,31.91,19.93,20.38,1.38,40.71,32.8,62.7,5.1,Low
ST004,Anna Nagar,Chennai,Tamil Nadu,13.085,80.2101,2026-01-13 18:15:07,171,49.59,171.8,103.54,2.61,4.02,33.25,39.1,42.0,4.4,High
ST007,Porur,Chennai,Tamil Nadu,13.0382,80.1565,2026-01-13 19:04:46,109,52.41,112.37,20.1,27.97,4.56,56.3,29.6,73.2,4.9,High
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-13 20:38:50,121,37.87,125.79,9.8,34.77,3.86,28.44,25.9,89.3,2.2,Low
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-13 20:56:16,291,235.78,153.48,68.37,46.56,4.71,60.3,35.1,73.1,0.7,Moderate
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-13 21:22:59,240,57.32,238.3,111.77,37.9,4.63,52.23,25.5,73.6,2.9,High
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-13 21:47:06,77,67.27,46.51,5.0,8.84,3.1,81.15,24.3,53.0,4.7,Low
ST007,Porur,Chennai,Tamil Nadu,13.0382,80.1565,2026-01-13 23:18:33,226,116.33,222.57,52.33,21.05,0.52,8.32,24.5,50.2,2.4,Moderate
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-14 00:16:54,182,78.53,189.9,22.09,13.16,2.53,76.76,26.1,53.3,5.1,Moderate
ST004,Anna Nagar,Chennai,Tamil Nadu,13.085,80.2101,2026-01-14 00:25:03,38,39.45,24.15,72.26,10.01,1.1,31.56,34.7,54.3,3.0,Low
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-14 00:46:46,138,100.05,93.98,21.28,5.15,2.28,63.91,32.7,85.3,3.9,Low
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-14 02:25:26,214,91.18,206.3,86.76,23.61,1.57,23.64,37.3,82.3,4.2,High
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-14 05:28:37,209,118.17,208.27,26.75,21.88,3.28,39.41,31.5,55.7,4.4,High
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-14 06:19:25,199,26.49,192.48,60.68,18.38,2.7,83.54,26.3,41.7,3.1,High
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-14 06:28:49,81,68.85,26.17,17.54,24.7,1.77,33.66,35.8,44.3,4.2,Moderate
ST004,Anna Nagar,Chennai,Tamil Nadu,13.085,80.2101,2026-01-14 06:42:38,142,15.64,145.4,12.23,28.95,2.87,80.41,35.8,58.0,4.2,Low
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-14 07:24:10,141,100.61,79.14,35.13,17.67,3.02,98.49,39.0,79.9,6.0,Moderate
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-14 07:38:43,109,84.15,34.52,21.07,21.6,3.08,43.41,28.3,81.8,0.6,Moderate
ST007,Porur,Chennai,Tamil Nadu,13.0382,80.1565,2026-01-14 07:50:14,147,117.38,150.25,38.76,21.23,3.11,52.09,36.9,54.5,4.2,Moderate
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-14 08:05:56,140,30.39,145.54,53.21,31.74,3.76,70.73,36.8,79.4,2.1,Low
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-14 09:19:09,152,24.64,134.56,57.99,3.2,3.76,9.94,35.0,80.0,1.6,Low
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-14 09:28:38,248,67.17,230.53,39.86,23.08,0.4,11.88,27.2,64.6,0.9,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-14 09:41:41,161,103.85,169.14,37.29,3.58,2.22,42.48,37.8,47.0,3.6,High
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-14 09:57:46,160,62.84,149.62,29.64,2.87,3.0,5.93,32.1,78.9,5.2,High
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-14 11:16:59,164,119.85,26.99,7.73,8.27,1.02,28.46,33.8,46.8,4.6,Moderate
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-14 11:36:55,190,109.22,185.2,73.47,8.52,2.7,44.14,33.9,67.8,2.8,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-14 11:47:03,134,104.83,83.23,48.43,19.89,2.02,82.96,24.5,74.8,2.9,Moderate
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-14 12:07:09,30,19.49,35.44,16.43,7.19,2.58,58.32,31.4,88.6,3.8,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-14 12:23:14,116,84.18,72.2,52.17,6.48,2.7,31.91,28.5,76.6,1.8,Low
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-14 12:49:11,381,300.0,71.61,94.66,17.47,3.62,22.07,38.6,71.7,0.9,High
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-14 13:04:35,83,55.27,25.25,5.0,2.44,2.06,16.21,27.1,65.2,4.7,Low
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-14 13:10:22,58,57.89,28.22,49.94,20.63,2.17,53.47,25.7,53.9,5.4,Moderate
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-14 13:56:44,98,76.42,21.79,11.36,32.69,3.14,91.94,27.5,79.0,1.6,Low
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-14 14:11:37,148,57.39,137.06,22.76,8.26,2.65,80.71,30.6,42.2,4.8,Moderate
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-14 14:33:26,200,157.03,206.58,48.83,10.06,2.24,70.54,35.8,64.4,5.0,High
ST004,Anna Nagar,Chennai,Tamil Nadu,13.085,80.2101,2026-01-14 15:18:24,110,32.52,102.59,50.62,2.37,1.61,70.48,24.9,45.3,3.7,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-14 16:20:32,55,44.91,68.75,33.35,8.23,3.47,82.33,35.3,71.2,4.0,High
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-14 18:23:41,207,97.09,214.88,93.35,9.97,5.6,63.54,29.9,67.8,1.0,High
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-14 18:38:34,147,31.79,162.01,9.81,6.24,2.7,86.22,29.5,73.1,3.1,High
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-14 19:04:08,134,69.7,129.11,46.83,26.75,0.82,66.42,38.0,83.4,3.0,Low
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-14 20:38:39,185,129.35,75.7,44.88,21.68,3.92,89.5,35.6,68.7,4.2,High
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-14 21:21:16,348,97.7,333.17,69.7,8.81,6.05,48.73,27.6,48.3,2.3,High
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-14 21:48:49,66,53.42,20.99,55.33,12.42,0.3,70.53,24.3,76.6,5.6,Moderate
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-14 22:16:55,176,136.55,136.59,6.15,30.92,0.43,75.84,35.7,70.8,1.5,Moderate
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-15 00:29:09,101,74.66,99.84,65.98,18.1,0.54,89.75,35.3,66.7,4.2,High
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-15 00:34:13,113,62.93,118.8,60.2,8.13,2.8,93.76,26.7,84.0,3.6,Low
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-15 01:44:47,122,46.78,112.41,83.3,18.45,3.29,72.38,30.6,78.4,0.7,Low
ST004,Anna Nagar,Chennai,Tamil Nadu,13.085,80.2101,2026-01-15 02:30:38,151,37.81,161.01,73.19,16.07,3.06,90.21,35.9,51.6,2.7,Low
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-15 02:30:42,44,15.29,27.74,70.25,27.78,2.72,63.39,38.1,57.8,2.1,Low
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-15 02:33:28,174,133.36,85.49,57.39,35.67,2.82,27.13,35.6,43.3,2.2,Moderate
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-15 03:12:45,280,81.41,287.55,136.68,4.91,3.46,81.2,30.8,49.3,1.1,High
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-15 05:21:41,237,190.92,134.65,84.56,18.42,4.13,61.56,34.2,43.5,2.5,Moderate
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-15 05:26:35,65,57.89,54.44,31.39,16.2,2.59,68.05,34.1,80.5,0.7,Low
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-15 07:46:38,258,42.49,237.19,36.98,37.48,4.38,76.61,34.0,73.5,1.2,High
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-15 07:58:02,96,25.9,92.49,90.15,31.74,3.04,71.32,28.2,42.0,2.2,High
ST004,Anna Nagar,Chennai,Tamil Nadu,13.085,80.2101,2026-01-15 08:03:50,67,53.3,31.65,15.07,22.12,1.18,40.27,39.0,55.4,5.3,High
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-15 09:02:56,154,39.54,162.54,80.43,11.8,2.44,97.68,27.6,68.8,2.8,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-15 09:04:10,131,54.54,126.4,41.47,16.85,2.57,64.73,25.6,48.3,5.6,High
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-15 10:17:59,122,91.11,33.76,18.55,12.52,4.66,36.48,34.1,43.5,1.9,Moderate
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-15 11:10:46,104,88.06,95.84,62.51,24.61,2.71,15.01,32.8,49.5,4.5,Moderate
ST007,Porur,Chennai,Tamil Nadu,13.0382,80.1565,2026-01-15 11:21:39,168,121.16,160.91,64.05,34.18,5.16,43.33,39.2,66.8,2.7,High
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-15 11:23:07,198,151.37,184.57,61.92,15.02,4.36,95.9,33.7,44.5,5.8,High
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-15 11:25:24,212,146.6,44.05,56.49,13.86,1.83,73.17,27.7,59.5,3.8,Moderate
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-15 11:38:42,177,83.41,165.3,77.46,8.89,1.14,97.35,26.6,58.6,5.2,High
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-15 11:55:38,262,38.06,254.54,75.11,18.16,0.7,34.54,35.7,78.6,0.9,Moderate
ST007,Porur,Chennai,Tamil Nadu,13.0382,80.1565,2026-01-15 15:16:12,56,10.52,63.47,43.23,16.44,1.93,98.16,33.3,66.9,3.0,Low
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-15 15:41:49,130,102.74,100.13,83.38,22.81,1.46,63.63,31.3,51.8,0.9,Low
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-15 15:58:07,62,44.92,29.83,9.95,26.64,2.38,17.07,34.4,40.9,4.1,Moderate
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-15 16:50:10,157,110.47,157.59,27.28,7.53,2.75,31.11,27.6,50.6,3.9,Moderate
ST007,Porur,Chennai,Tamil Nadu,13.0382,80.1565,2026-01-15 17:27:32,108,90.25,106.1,34.23,20.96,1.31,18.15,31.8,67.0,5.0,Low
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-15 18:12:16,184,76.63,191.78,23.55,29.8,1.89,33.3,38.0,70.7,1.5,Low
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-15 18:22:47,82,83.83,68.25,6.51,14.67,1.16,88.39,30.2,88.3,4.3,Low
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-15 21:50:52,115,70.32,127.86,99.25,26.69,5.59,67.47,35.1,72.6,1.7,High
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-15 22:17:15,91,74.81,85.58,40.0,20.89,2.61,59.49,34.6,82.0,3.5,Low
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-15 22:17:24,66,44.71,22.74,6.74,2.06,2.61,35.21,33.8,48.3,3.4,Moderate
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-15 22:17:58,95,67.87,107.23,20.34,23.83,1.79,41.97,40.0,61.7,4.4,Low
ST004,Anna Nagar,Chennai,Tamil Nadu,13.085,80.2101,2026-01-15 22:31:39,287,232.51,76.51,64.93,39.28,3.37,87.04,26.0,79.7,2.0,High
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-15 23:27:05,83,67.55,50.68,36.45,3.0,0.58,86.3,31.5,89.0,4.0,Low
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-15 23:28:04,167,127.63,93.0,28.71,26.46,4.46,48.45,28.6,49.3,4.1,High
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-16 00:37:55,183,47.52,184.2,52.49,29.4,1.21,73.34,38.0,76.9,1.9,Low
ST007,Porur,Chennai,Tamil Nadu,13.0382,80.1565,2026-01-16 02:06:14,244,83.74,231.88,72.25,6.54,4.18,74.57,28.6,67.1,0.6,Low
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-16 03:01:28,134,41.97,130.56,55.03,17.3,0.33,58.8,31.6,55.9,4.7,Moderate
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-16 03:28:13,114,82.75,37.4,36.04,15.5,3.27,56.93,34.6,53.0,5.5,Moderate
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-16 04:42:17,164,120.39,151.0,73.25,25.74,0.76,69.85,29.7,72.4,1.2,High
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-16 04:42:31,74,57.57,58.61,33.5,11.12,0.76,14.02,39.3,68.3,3.3,Low
